epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2021.39,1.21332,0.69656,1.06485,0.95561,0.88927,0.94248,0.63281,1.19436,0.6113,1.09477,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,2087.81,1.21439,0.68281,1.05674,0.94826,0.88448,0.94141,0.62946,1.20113,0.61434,1.09927,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2153.44,1.20324,0.67899,1.05606,0.94947,0.88628,0.94048,0.62529,1.20007,0.60521,1.10685,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2219.23,1.20555,0.68096,1.05275,0.96068,0.88508,0.94407,0.63106,1.18653,0.60779,1.08722,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2285.19,1.19051,0.66718,1.04383,0.95129,0.88859,0.94657,0.63656,1.17075,0.58718,1.0888,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2351.12,1.18199,0.66507,1.03846,0.96205,0.88362,0.94213,0.64124,1.17667,0.58412,1.09682,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2416.76,1.16855,0.65062,1.03468,0.95282,0.88347,0.94283,0.63685,1.16771,0.5888,1.08804,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2482.46,1.16328,0.64885,1.03304,0.96116,0.88859,0.9431,0.64801,1.15383,0.58014,1.07974,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2548.03,1.1573,0.64655,1.03197,0.95999,0.89747,0.94697,0.64506,1.17055,0.5702,1.0926,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2613.64,1.1619,0.64367,1.0335,0.95661,0.89064,0.94576,0.64741,1.15596,0.57954,1.089,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
